Usuario,Data,CPU.Uso(%),CPU.Temp(°C),RAM.Uso(%),Disco.Uso(%),Disco.Temp(°C)
kanjaxay,29/08/25 14:29:58,4.2,39.0,48.9,26.8,32.85
kanjaxay,29/08/25 14:30:01,4.2,36.0,49.0,26.8,32.85
kanjaxay,29/08/25 14:30:04,0.0,36.0,48.8,26.8,32.85
kanjaxay,29/08/25 14:30:07,1.7,36.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:10,0.8,36.0,48.7,26.8,32.85
kanjaxay,29/08/25 14:30:13,2.5,36.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:16,0.0,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:20,1.7,36.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:23,1.7,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:26,1.7,36.0,48.7,26.8,32.85
kanjaxay,29/08/25 14:30:29,0.0,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:32,1.7,36.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:35,0.8,36.0,48.7,26.8,32.85
kanjaxay,29/08/25 14:30:38,1.7,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:42,0.0,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:45,2.5,36.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:48,8.3,36.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:51,1.7,36.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:54,1.6,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:30:57,4.2,37.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:31:00,0.8,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:31:03,0.0,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:31:07,1.7,36.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:31:10,0.8,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:31:13,1.7,35.0,48.7,26.8,32.85
kanjaxay,29/08/25 14:31:16,0.0,35.0,48.7,26.8,32.85
kanjaxay,29/08/25 14:31:19,3.4,36.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:31:22,2.5,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:31:25,0.8,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:31:29,0.8,35.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:31:32,1.7,35.0,48.7,26.8,32.85
kanjaxay,29/08/25 14:31:35,1.7,35.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:31:38,1.7,36.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:31:41,1.7,37.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:31:44,0.8,35.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:31:47,0.8,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:31:51,1.7,37.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:31:54,0.8,35.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:31:57,2.5,36.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:32:00,0.8,35.0,48.7,26.8,32.85
kanjaxay,29/08/25 14:32:03,1.7,36.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:32:06,0.8,35.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:32:09,2.5,35.0,48.5,26.8,31.85
kanjaxay,29/08/25 14:32:13,2.5,35.0,48.5,26.8,31.85
kanjaxay,29/08/25 14:32:16,2.5,35.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:32:19,1.7,35.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:32:22,0.8,35.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:32:25,1.7,35.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:32:28,2.5,36.0,48.8,26.8,31.85
kanjaxay,29/08/25 14:32:31,1.7,36.0,48.8,26.8,31.85
kanjaxay,29/08/25 14:32:35,2.5,35.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:32:38,3.4,36.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:32:41,0.8,36.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:32:44,2.5,35.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:32:47,0.0,35.0,48.6,26.8,32.85
kanjaxay,29/08/25 14:32:50,2.5,35.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:32:53,1.7,35.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:32:56,2.5,35.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:33:00,1.7,36.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:33:03,2.5,35.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:33:06,0.8,35.0,48.8,26.8,31.85
kanjaxay,29/08/25 14:33:09,2.5,35.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:33:12,0.8,35.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:33:15,2.5,35.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:33:18,1.7,35.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:33:22,0.0,35.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:33:25,1.7,35.0,48.7,26.8,31.85
kanjaxay,29/08/25 14:33:28,0.8,35.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:33:31,1.7,35.0,48.6,26.8,31.85
kanjaxay,29/08/25 14:33:34,11.0,36.0,48.6,26.8,31.85
